Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Al-Hafedh Y.S., Alam A., Alam M.A.",6602303412;12244589200;57199298207;,Performance of plastic biofilter media with different configuration in a water recirculation system for the culture of Nile tilapia (Oreochromis niloticus),2003,Aquacultural Engineering,29,4-Mar,,139,154,,36,10.1016/S0144-8609(03)00065-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344946313&doi=10.1016%2fS0144-8609%2803%2900065-7&partnerID=40&md5=52a0050d3adceee30cd33c83feefd32e,"Nat. Rsrc. and Environ. Res. Inst., King Abdulaziz City Sci. Technol., P.O. Box 6086, Riyadh 11442, Saudi Arabia","Al-Hafedh, Y.S., Nat. Rsrc. and Environ. Res. Inst., King Abdulaziz City Sci. Technol., P.O. Box 6086, Riyadh 11442, Saudi Arabia; Alam, A., Nat. Rsrc. and Environ. Res. Inst., King Abdulaziz City Sci. Technol., P.O. Box 6086, Riyadh 11442, Saudi Arabia; Alam, M.A., Nat. Rsrc. and Environ. Res. Inst., King Abdulaziz City Sci. Technol., P.O. Box 6086, Riyadh 11442, Saudi Arabia","Three kinds of locally available plastic biofilter media with different configurations (plastic rolls, PVC pipes and scrub pads) were evaluated for their efficiency in organic waste removal from the effluents of an intensive recirculating tilapia culture system. A set of three types of solid-removing filters consisting of screened sedimentation; upflow sand as well as plastic bead filtration accomplished the mechanical filtration. Values of critical metabolic wastes like total ammonia nitrogen (TAN) (0.92 ppm) and nitrite-nitrogen (NO2-N) (0.22 ppm) were found to be well within the acceptable limits, while other water quality parameters in the culture water were also maintained within the normal range by the filtration system. Removal rates of 3.46 g TAN/m3 per day and 0.77 g NO2-Nm 3 per day, as well as TAN and NO2-N removal efficiencies of 29.37 and 27.3% respectively, were established to be the best for the plastic-roll biofilter medium as compared to PVC-pipe and scrub-pad media. Percent removal of TAN and NO2-N per pass of the biofilter (25.49 and 26.3% respectively) and the specific TAN and NO2-N removal rates (43 and 9.6 mg/m2 per day) of plastic rolls were also found to be superior to the other two biofilter media. Pieces of PVC pipes as biofilter medium is recommended to be used in the biofilters in view of their cheaper cost. © 2003 Elsevier B.V. All rights reserved.",Nile tilapia (Oreochromis niloticus); Plastic biofilter media; Recirculation system; Saudi Arabia,Ammonia; Biofilters; Nitrogen; Polyvinyl chlorides; Sedimentation; Water quality; Biofilter media; Mechanical filtration; Aquaculture; Aquaculture; biofilter; performance assessment; recirculation; Oreochromis; Oreochromis niloticus; Oreochromis niloticus; Tilapia,"Al-Hafedh, Y.S.; Nat. Rsrc. and Environ. Res. Inst., P.O. Box 6086, Riyadh 11442, Saudi Arabia; email: yhafedh@kacst.edu.sa",,Elsevier,1448609,,AQEND,,English,Aquac. Eng.,Article,Final,,Scopus,2-s2.0-0344946313
"Lehman H., Clark E.A., Weise S.F.",7004584777;7402540888;57197074041;,Clarifying the definition of Sustainable agriculture,1993,Journal of Agricultural and Environmental Ethics,6,2,,127,143,,36,10.1007/BF01965480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007561048&doi=10.1007%2fBF01965480&partnerID=40&md5=ad908bd1e77254ff037873ecf524187b,"Department of Philosophy, University of Guelph, Guelph, Ontario, Canada; Department of Crop Science, University of Guelph, Guelph, Ontario, Canada","Lehman, H., Department of Philosophy, University of Guelph, Guelph, Ontario, Canada; Clark, E.A., Department of Crop Science, University of Guelph, Guelph, Ontario, Canada; Weise, S.F., Department of Crop Science, University of Guelph, Guelph, Ontario, Canada","A number of distinct definitions of sustainable agriculture have been proposed. In this paper we criticize two such definitions, primarily for conflating sustainability with other objectives such as economic viability and ecological integrity. Finally, we propose and defend a definition which avoids our objections to the other definitions. © 1993 Journal of Agricultural and Environmental Ethics.",ecological integrity; economic viability; sustainable agriculture,,"Lehman, H.; Department of Philosophy, , Guelph, Ontario, Canada",,Kluwer Academic Publishers,11877863,,,,English,J Agric Environ Ethics,Article,Final,,Scopus,2-s2.0-0007561048
"Jung I.S., Lovitt R.W.",35786024200;7003858563;,Leaching techniques to remove metals and potentially hazardous nutrients from trout farm sludge,2011,Water Research,45,18,,5977,5986,,34,10.1016/j.watres.2011.08.062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054034748&doi=10.1016%2fj.watres.2011.08.062&partnerID=40&md5=4a53625c3952de8a232f61e737530000,"Centre for Complex Fluid Processing (CCFP), School of Engineering, Swansea University, Talbot building, Singleton Park, Swansea, Wales SA2 8PP, United Kingdom; Multidisciplinary Nanotechnology Centre (MNC), School of Engineering, Swansea University, Talbot building, Singleton Park, Swansea, Wales SA2 8PP, United Kingdom","Jung, I.S., Centre for Complex Fluid Processing (CCFP), School of Engineering, Swansea University, Talbot building, Singleton Park, Swansea, Wales SA2 8PP, United Kingdom, Multidisciplinary Nanotechnology Centre (MNC), School of Engineering, Swansea University, Talbot building, Singleton Park, Swansea, Wales SA2 8PP, United Kingdom; Lovitt, R.W., Centre for Complex Fluid Processing (CCFP), School of Engineering, Swansea University, Talbot building, Singleton Park, Swansea, Wales SA2 8PP, United Kingdom, Multidisciplinary Nanotechnology Centre (MNC), School of Engineering, Swansea University, Talbot building, Singleton Park, Swansea, Wales SA2 8PP, United Kingdom","A fish farm sludge high in P (2-6% w/w as dry matter), Fe (5-7%), C (40-50%) and N (0.8-4%) was subjected to a series of acid leaching treatments using HCl, organic acids, and biologically mediated acid production. Additions of biodegradable organic acid solubilized heavy metals better than HCl, while additions of 1.5% w/v glucose followed by 7 day incubation stabilized the sludge releasing 92% P, 100% Fe. The use of homo-lactic Lactobacillus plantarum starter cultures were more effective than hetero-lactic Lactobacillus buchneri, solubilizing 81.9% P, 92.2% Fe, 93.0% Zn and 96.4% Ca in the sludge. The anaerobic sludge-glucose fermentation using L. plantarum produced a leached sludge that has low heavy metal and nutrient content while affording the recovery of nutrients. The potential of these methods for practical application are briefly discussed. © 2011 Elsevier Ltd.",Lactobacillus buchneri; Lactobacillus plantarum; Metal leaching; Nutrient leaching; Phosphate; Recirculating aquaculture system (RAS); Sludge,Aquaculture; Bacilli; Glucose; Heavy metals; Leaching; Metal recovery; Organic acids; Phosphates; Lactobacillus buchneri; Lactobacillus plantarum; Metal leaching; Nutrient leaching; Recirculating aquaculture system; Sludge; Nutrients; acetic acid; calcium; carbon; carboxylic acid; chloride; glucose; iron; lactic acid; nitrogen; phosphorus; silicon; anoxic conditions; aquaculture effluent; bacterium; biodegradation; biotechnology; fermentation; hazardous waste; heavy metal; hydrochloric acid; leaching; organic acid; pollutant removal; recirculating system; salmonid culture; sludge; solubilization; anaerobic fermentation; article; bacterium culture; biodegradability; bioleaching; heavy metal removal; Lactobacillus; Lactobacillus buchneri; Lactobacillus plantarum; nonhuman; nutrient content; pH; pisciculture; priority journal; solubilization; starter culture; trout; Lactobacillus buchneri; Lactobacillus plantarum; Salmonidae,"Lovitt, R.W.; Centre for Complex Fluids Processing, Singleton Park, Swansea, SA2 8PP Wales, United Kingdom; email: r.w.lovitt@swansea.ac.uk",,Elsevier Ltd,431354,,WATRA,21940031,English,Water Res.,Article,Final,,Scopus,2-s2.0-80054034748
Belal I.E.H.,6602874460;,A review of some fish nutrition methodologies,2005,Bioresource Technology,96,4,,395,402,,34,10.1016/j.biortech.2003.11.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-7444256021&doi=10.1016%2fj.biortech.2003.11.030&partnerID=40&md5=03f578ec97b0e59c906580f2701b6a48,"Dept. of Aquatic Rsrc. Development, Coll. of Agric. and Food Sciences, King Faisal Univ., P.O. B., Al-Hassa, Saudi Arabia","Belal, I.E.H., Dept. of Aquatic Rsrc. Development, Coll. of Agric. and Food Sciences, King Faisal Univ., P.O. B., Al-Hassa, Saudi Arabia","Several classical warm blooded animal (poultry, sheep, cows, etc.) methods for dietary nutrients evaluation (digestibility, metabolizablity, and energy budget) are applied to fish, even though fish live in a different environment in addition to being cold blooded animals. These applications have caused significant errors that have made these methods non-additive and meaningless, as is explained in the text. In other words, dietary digestion and absorption could not adequately be measured due to the aquatic environment fish live in. Therefore, net nutrient deposition and/or growth are the only accurate measurement left to evaluate dietary nutrients intake in fish. In order to understand and predict dietary nutrient intake-growth response relationship, several mathematical models; (1) the simple linear equation, (2) the logarithmic equation, and (3) the quadratic equation are generally used. These models however, do not describe a full range of growth and have no biological meaning as explained in the text. On the other hand, a model called the saturation kinetic model. It has biological basis (the law of mass action and the enzyme kinetic) and it describes the full range of growth curve. Additionally, it has four parameters that summarize the growth curve and could also be used in comparing diets or nutrients effect on fish growth and/or net nutrient deposition. The saturation kinetic model is proposed to be adequate for dietary nutrient evaluation for fish. The theoretical derivation of this model is illustrated in the text. © 2004 Elsevier Ltd. All rights reserved.",Diet evaluation methods; Digestibility; Energy budget; Fish; Growth; Metabolism; Modeling; Nutrition; Saturation kinetic model,Deposition; Environmental impact; Enzymes; Fisheries; Linear equations; Mathematical models; Cold blooded animals; Logarithms equation; Nutrition; diet; fish; methodology; numerical model; nutrition; absorption; diet; digestion; energy metabolism; fish; food intake; growth; metabolism; nutrition; priority journal; review; Animalia; Ovis aries,"Belal, I.E.H.; Dept. of Aquatic Rsrc. Development, , Al-Hassa, Saudi Arabia; email: ibelal@yahoo.com",,Elsevier Ltd,9608524,,BIRTE,15491819,English,Bioresour. Technol.,Article,Final,,Scopus,2-s2.0-7444256021
Hui S.C.M.,,Green roof urban farming for buildings in high-density urban cities,2011,The 2011 Hainan China World Green Roof Conference,,,,1,9,,31,,,,"Hui, S.C.M.",[No abstract available],,,,,,,,,,,,,Final,,Scopus,2-s2.0-84929154324
"Villarroel M., Alvariño J.M.R., Duran J.M.",7003443916;57506827400;7101940779;,Aquaponics: Integrating fish feeding rates and ion waste production for strawberry hydroponics [Aquaponica: Integrando la tasa de alimentación de peces y la producción de iones residuals para la hidroponía de fresas],2011,Spanish Journal of Agricultural Research,9,2,,537,545,,30,10.5424/sjar/20110902-181-10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959696264&doi=10.5424%2fsjar%2f20110902-181-10&partnerID=40&md5=26ffb51dc59a15bc2652fdda6dea79cf,"Departamento de Producción Animal, Escuela Técnica Superior de Ingenieros Agrónomos, Universidad Politécnica de Madrid (UPM), Ciudad Universitaria, s/n, 28040 Madrid, Spain; Departamento de Producción Vegetal: Fitotecnia, Escuela Técnica Superior de Ingenieros Agrónomos, Universidad Politécnica de Madrid (UPM), Ciudad Universitaria, s/n, 28040 Madrid, Spain","Villarroel, M., Departamento de Producción Animal, Escuela Técnica Superior de Ingenieros Agrónomos, Universidad Politécnica de Madrid (UPM), Ciudad Universitaria, s/n, 28040 Madrid, Spain; Alvariño, J.M.R., Departamento de Producción Animal, Escuela Técnica Superior de Ingenieros Agrónomos, Universidad Politécnica de Madrid (UPM), Ciudad Universitaria, s/n, 28040 Madrid, Spain; Duran, J.M., Departamento de Producción Vegetal: Fitotecnia, Escuela Técnica Superior de Ingenieros Agrónomos, Universidad Politécnica de Madrid (UPM), Ciudad Universitaria, s/n, 28040 Madrid, Spain","Aquaponics is the science of integrating intensive fish aquaculture with plant production in recirculating water systems. Although ion waste production by f ish cannot satisfy all plant requirements, less is known about the relationship between total feed provided for f ish and the production of milliequivalents (mEq) of different macronutrients for plants, especially for nutrient flow hydroponics used for strawberry production in Spain. That knowledge is essential to consider the amount of macronutrients available in aquaculture systems so that farmers can estimate how much nutrient needs to be supplemented in the waste water from fish, to produce viable plant growth. In the present experiment, tilapia (Oreochromis niloticus L.) were grown in a small-scale recirculating system at two different densities while growth and feed consumption were noted every week for five weeks. At the same time points, water samples were taken to measure pH, EC25, HCO3-, Cl-, NH4+, NO2- NO3-, H2PO4-, SO42-, Na+, K+, Ca2+ and Mg2+ build up. The total increase in mEq of each ion per kg of feed provided to the fish was highest for NO3-, followed, in decreasing order, by Ca2+, H2PO4-, K+, Mg2+ and SO42-. The total amount of feed required per mEq ranged from 1.61- 13.1 kg for the four most abundant ions (NO3-, Ca2+, H2PO4- and K+) at a density of 2 kg fish m-3, suggesting that it would be rather easy to maintain small populations of fish to reduce the cost of hydroponic solution supplementation for strawberries.",Aquaculture; Nutrients; Recirculating system; Tilapia; Water quality,Fragaria x ananassa; Oreochromis niloticus; Tilapia,"Villarroel, M.; Departamento de Producción Animal, Ciudad Universitaria, s/n, 28040 Madrid, Spain; email: morrisvillarroel@upmes",,Ministerio de Agricultura Pesca y Alimentacion,1695971X,,,,English; Spanish,Span. J. Agric. Res.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-79959696264
"Rupasinghe J.W., Kennedy J.O.S.",36239992000;8541999200;,Economic benefits of integrating a hydroponic-lettuce system into a barramundi fish production system,2010,Aquaculture Economics and Management,14,2,,81,96,,30,10.1080/13657301003776631,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952621340&doi=10.1080%2f13657301003776631&partnerID=40&md5=d95e9bffdbc7bf966d845efe09263aea,"Department of Fisheries Biology, University of Ruhuna Matara, Sri Lanka; School of Economics and Finance, La Trobe University, Melbourne, VIC 3086, Australia","Rupasinghe, J.W., Department of Fisheries Biology, University of Ruhuna Matara, Sri Lanka; Kennedy, J.O.S., School of Economics and Finance, La Trobe University, Melbourne, VIC 3086, Australia","The economic benefits of an aquaculture-hydroponic integrated system are evaluated using a hydroponic-lettuce and barramundi fish production system as a case study. Technical data were obtained for a case study farm located at Port Stephens, New South Wales, Australia. The net present values of annual cash flows over a 10-year planning horizon were determined for barramundi and lettuce production as stand-alone units, and alternatively as integrated units, using a capital budgeting framework. Integrated production enables barramundi effluent to be used as a source of nutrients for the lettuce production. This results in an increase in net benefits equal to the reduction in barramundi effluent disposal costs, and the saving of some water and nutrient costs of the lettuce system. © Taylor & Francis Group, LLC.",Barramundi; Capital budgeting; Fish-effluent costs; Hydroponic-lettuce production; Integrated aquaculture,aquaculture effluent; fishery management; fishery production; integrated approach; nutrient uptake; production system; Australia; New South Wales; Port Stephens; Lactuca,"Kennedy, J. O. S.; School of Economics and Finance, , Melbourne, VIC 3086, Australia; email: j.kennedy@latrobe.edu.au",,,13657305,,AEMAF,,English,Aquac. Econ. Manage.,Article,Final,,Scopus,2-s2.0-77952621340
"Nicola S., Hoeberechts J., Fontana E.",14822555700;14822364200;14821783500;,"Ebb-and-Flow and Floating systems to grow leafy vegetables: A review for rocket, corn salad, garden cress and purslane",2007,Acta Horticulturae,747,,,585,592,,30,10.17660/actahortic.2007.747.76,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449395832&doi=10.17660%2factahortic.2007.747.76&partnerID=40&md5=7096a6521500c858ee01e398a5115ad9,"AGROSELVITER - Vegetables and Medicinal and Aromatic Plants, Università Degli Studi di Torino, Via L. da Vinci, 44 I-10095 Grugliasco (TO), Italy","Nicola, S., AGROSELVITER - Vegetables and Medicinal and Aromatic Plants, Università Degli Studi di Torino, Via L. da Vinci, 44 I-10095 Grugliasco (TO), Italy; Hoeberechts, J., AGROSELVITER - Vegetables and Medicinal and Aromatic Plants, Università Degli Studi di Torino, Via L. da Vinci, 44 I-10095 Grugliasco (TO), Italy; Fontana, E., AGROSELVITER - Vegetables and Medicinal and Aromatic Plants, Università Degli Studi di Torino, Via L. da Vinci, 44 I-10095 Grugliasco (TO), Italy","The interest for functional foods and the consumption of fresh-cut vegetables are rising in many EU countries and in the USA. The intensive winter season cultivation of vegetable crops causes more sensitive and hence disease-prone plants. This leads to an intensified application of pesticides, increasing chemical residue risks. Vegetable crops are facing the banning of fumigant methyl bromide application for ground disinfections. Furthermore, chain quality production has become crucial in terms of food safety and environmental impact. Thus, protected cultivation is increasingly shifting from Traditional Culture System (TCS) - in soil - to Soilless Culture System (SCS). The SCS allows to control growth factors and to obtain clean raw material at harvest improving its safety and quality. Among the SCSs, Ebb-and-Flow (EF) and Floating (FL) Systems are relatively cheap and easy- to-use hydroponic systems. They are suitable to produce vegetables both with a short cultural cycle and with a high plant density, and can be considered as an efficient system to produce leafy vegetables, either baby leaves or baby bushes. Controlling the nutrient solution and managing plant growth according to environmental conditions allow decreasing nitrate content in the edible product. Nitrate accumulation, however, is very variable among species. The full control of the inputs that SCS provides should reduce the environmental impact and contribute to product quality standardizati-on. Different irrigation systems (EF and FL), nutrient solutions (N levels and NO3-7NH4+ ratios), culture systems (SCS and TCS) were investigated from years 2000 to 2005. Were considered species commonly cultivated (rocket and corn salad) and minor species, important for their functional content or traditional use (purslane, garden cress) and those with potentiality to be introduced in the fresh-cut supply chain.",Eruca sativa; Hydroponics; Lepidium sativum; Nitrate content; Portulaca oleracea; Protected cultivation; Valerianella olitoria,Eruca sativa; Lepidium sativum; Portulaca oleracea; Portulacaceae; Valerianella; Valerianella locusta; Zea mays,"Nicola, S.; AGROSELVITER - Vegetables and Medicinal and Aromatic Plants, Via L. da Vinci, 44 I-10095 Grugliasco (TO), Italy",,International Society for Horticultural Science,5677572,,,,English,Acta Hortic.,Conference Paper,Final,,Scopus,2-s2.0-70449395832
"Ragnarsdottir K.V., Sverdrup H.U., Koca D.",55904384000;55909456800;13409421700;,Challenging the planetary boundaries I: Basic principles of an integrated model for phosphorous supply dynamics and global population size,2011,Applied Geochemistry,26,SUPPL.,,S303,S306,,29,10.1016/j.apgeochem.2011.03.088,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955959156&doi=10.1016%2fj.apgeochem.2011.03.088&partnerID=40&md5=cdfbf4e5eea09a0e48ca421671182c2d,"Faculty of Earth Sciences, School of Engineering and Natural Sciences, University of Iceland, Askja, IS-101 Reykjavik, Iceland; Department of Chemical Engineering, Lund University, Lund SE-221 00, Sweden","Ragnarsdottir, K.V., Faculty of Earth Sciences, School of Engineering and Natural Sciences, University of Iceland, Askja, IS-101 Reykjavik, Iceland; Sverdrup, H.U., Department of Chemical Engineering, Lund University, Lund SE-221 00, Sweden; Koca, D., Department of Chemical Engineering, Lund University, Lund SE-221 00, Sweden","A simple mass balance model has been developed to assess the planetary boundary for P supply in relation to use by human society. Phosphorus sources used by humans are from fossil reserves. The model takes into account resource use rate and reserves, consumption, phosphate to food production, environmental degradation, waste and recycling. Various policy scenarios are tested from current end of pipe solutions to clean production and pollution prevention, sustainable consumption and production polices and sustainable population policy. In order to get an overview of possible future scenarios it is necessary to close nutrient cycles and formulate a sustainable population policy. The outcome of systems dynamics based modeling for four scenarios are given in a sister paper in this issue. Results show that effective population and P recycling policies are crucial to avoid world hunger. © 2011 Elsevier Ltd.",,Basic principles; Clean production; Environmental degradation; Food production; Fossil reserves; Global population; Human society; Integrated models; Mass balance model; Nutrient cycle; Phosphorus sources; Policy scenario; Pollution prevention; Possible futures; Recycling policy; Resource use; Sustainable consumption; Systems dynamics; Population statistics; Recycling; Phosphorus; boundary layer; environmental degradation; food production; integrated approach; mass balance; numerical model; nutrient cycling; phosphate; phosphorus; planetary atmosphere; policy making; pollution control; population size; recycling; resource use; waste management,"Ragnarsdottir, K.V.; Faculty of Earth Sciences, , Askja, IS-101 Reykjavik, Iceland; email: vala@hi.is",,,8832927,,APPGE,,English,Appl. Geochem.,Article,Final,,Scopus,2-s2.0-79955959156
"Neori A., Krom M.D., Rijn J.v.",6701755929;7006504071;18134687000;,Biogeochemical processes in intensive zero-effluent marine fish culture with recirculating aerobic and anaerobic biofilters,2007,Journal of Experimental Marine Biology and Ecology,349,2,,235,247,,28,10.1016/j.jembe.2007.05.023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547557074&doi=10.1016%2fj.jembe.2007.05.023&partnerID=40&md5=fe2967cf270697afc3c64401a02677e5,"Israel Oceanographic and Limnological Research, The National Centre for Mariculture, P.O. Box 1212, Eilat, 88112, Israel; Earth and Biosphere Institute, School of Earth and Environment, Leeds University, Leeds, LS2 9JT, United Kingdom; Department of Animal Sciences, Faculty of Agricultural, Food and Environmental Quality Sciences, Rehovot, 76100, Israel","Neori, A., Israel Oceanographic and Limnological Research, The National Centre for Mariculture, P.O. Box 1212, Eilat, 88112, Israel; Krom, M.D., Earth and Biosphere Institute, School of Earth and Environment, Leeds University, Leeds, LS2 9JT, United Kingdom; Rijn, J.v., Department of Animal Sciences, Faculty of Agricultural, Food and Environmental Quality Sciences, Rehovot, 76100, Israel","The biogeochemical processes that drive nutrient transformations and recycling in organic marine sediment-water environments were studied for 17 months in a zero-effluent intensive recirculating culture system. The system consisted of a 10 m3 gilthead seabream (Sparus aurata) tank coupled to aerobic and anaerobic water treatment elements. Nutrients and alkalinity were measured in the system to quantify the main biogeochemical processes. Fractions of the carbon fed in feed were found in fish (18.3%) and in sludge (11%); the missing carbon was respired by fish (45%) and by aerobic (8.4%) and anaerobic (7.7%) microorganisms. Fractions of the nitrogen fed in feed were found in fish (15.4%) and in sludge (14.3%); the missing nitrogen was eliminated by nitrification-denitrification. Most of the phosphorus and ash fed in feed and not found in fish accumulated within the sludge in the system. The rates of nitrification, denitrification and sulphate reduction increased with time, reaching 0.3 g N m- 2 d- 1, 53 g N m- 2 d- 1 and 145 g S m- 2 d- 1, respectively. Nitrification developed more rapidly than denitrification, leading at first to nitrate accumulation (to 20 mmol NO3 l- 1 by day 200) and a decrease in alkalinity. Once denitrification surpassed nitrification, nitrate concentrations decreased, eventually being reduced to &lt; 0.3 mmol NO3 l- 1 by day 510, and alkalinity stabilized. Toxic hydrogen sulphide, generated within the anaerobic sludge, was oxidized by oxygen and nitrate as it diffused through the anaerobic-aerobic sediment-water interface. When nitrate levels in the water above the sludge dropped below 2 mmol l- 1, sulphide was also oxidized in the fluidized bed reactor. Denitrification reduced nitrate in the water, respired (jointly with sulphate reduction) carbon in the sludge, oxidized the hydrogen sulphide, and contributed to stabilization of alkalinity and accumulation of polyphosphate in bacteria as a major sink of labile P. © 2007 Elsevier B.V. All rights reserved.",Alkalinity; Fish waste treatment; Nitrification-denitrification; Nutrients; Polyphosphate accumulation; Sludge; Sparus aurata; Sulphate reduction,activated sludge; alkalinity; biogeochemical cycle; denitrification; fish culture; hydrogen sulfide; marine environment; nitrification; nutrient availability; oxidation; perciform; reduction; water treatment; Bacteria (microorganisms); Sparus aurata,"Neori, A.; Israel Oceanographic and Limnological Research, P.O. Box 1212, Eilat, 88112, Israel; email: aneori@gmail.com",,,220981,,JEMBA,,English,J. Exp. Mar. Biol. Ecol.,Article,Final,,Scopus,2-s2.0-34547557074
"Fujiwara K., Aoyama C., Takano M., Shinohara M.",54890358800;54889706000;7402422820;55120238600;,Suppression of Ralstonia solanacearum bacterial wilt disease by an organic hydroponic system,2012,Journal of General Plant Pathology,78,3,,217,220,,27,10.1007/s10327-012-0371-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860884083&doi=10.1007%2fs10327-012-0371-0&partnerID=40&md5=6bcf6f6bf1d750b3bdd4ff5d5e0d5f26,"National Institute of Vegetable and Tea Science, National Agricultural Research Organization, 360 Kusawa, Ano, Tsu, Mie 514-2392, Japan; Graduate School of Environmental Studies, Nagoya University, Chikusa, Nagoya, Aichi 464-8601, Japan","Fujiwara, K., National Institute of Vegetable and Tea Science, National Agricultural Research Organization, 360 Kusawa, Ano, Tsu, Mie 514-2392, Japan, Graduate School of Environmental Studies, Nagoya University, Chikusa, Nagoya, Aichi 464-8601, Japan; Aoyama, C., Graduate School of Environmental Studies, Nagoya University, Chikusa, Nagoya, Aichi 464-8601, Japan; Takano, M., Graduate School of Environmental Studies, Nagoya University, Chikusa, Nagoya, Aichi 464-8601, Japan; Shinohara, M., National Institute of Vegetable and Tea Science, National Agricultural Research Organization, 360 Kusawa, Ano, Tsu, Mie 514-2392, Japan","An organic hydroponic system that we developed has potential to control root diseases including bacterial wilt of hydroponically grown tomato. In inoculation tests with Ralstonia solanacearum during tomato plant cultivation in conventional inorganic hydroponics and in our organic system, many of the tomato seedlings in the conventional system wilted and died, but none of the seedlings in the organic hydroponics wilted or developed any symptoms, suggesting that the organic system can suppress this bacterial wilt disease. Interestingly, a rhizosphere biofilm, formed only on roots in the organic hydroponic system, may be responsible for the suppression of the bacterial wilt. © 2012 The Phytopathological Society of Japan and Springer.",Bacterial wilt disease; Organic hydroponics; Ralstonia solanacearum; Rhizosphere biofilm,Bacteria (microorganisms); Lycopersicon esculentum; Ralstonia solanacearum,"Shinohara, M.; National Institute of Vegetable and Tea Science, 360 Kusawa, Ano, Tsu, Mie 514-2392, Japan; email: shsh@affrc.go.jp",,,13452630,,,,English,J. Gen. Plant Pathol.,Article,Final,,Scopus,2-s2.0-84860884083
"Keen G.A., Prosser J.I.",24432165000;7102135168;,Interrelationship between pH and surface growth of Nitrobacter,1987,Soil Biology and Biochemistry,19,6,,665,672,,27,10.1016/0038-0717(87)90045-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249035996&doi=10.1016%2f0038-0717%2887%2990045-9&partnerID=40&md5=61da9aba748dea5ce6a43fed743ad8fe,"Department of Genetics and Microbiology, Marischal College, University of Aberdeen, Aberdeen, AB9 1AS Scotland, United Kingdom","Keen, G.A., Department of Genetics and Microbiology, Marischal College, University of Aberdeen, Aberdeen, AB9 1AS Scotland, United Kingdom; Prosser, J.I., Department of Genetics and Microbiology, Marischal College, University of Aberdeen, Aberdeen, AB9 1AS Scotland, United Kingdom","The effect of pH on surface growth and activity of Nilrobacter was studied in batch and continuous flow systems and on glass coverslips and anion-exchange resin beads. In batch culture with an initial nitrite concentration of 50 μg NO2--N ml-1 freely-suspended cells had a pH optimum of 7.5 and a pH minimum of 6, which was reduced to 5.5 at lower initial nitrite concentrations. Free cells grew in continuous culture at pH 5.5 and nitrite oxidation rate per cell decreased with decreasing pH. Attachment of Nitrobacter to anion-exchange resin beads increased with pH over the range 5.5-8.0. No such increase was observed on glass coverslips but attached cells grew approximately 20% faster than free cells. Attachment to glass did not affect the pH optimum or minimum in batch culture. In continuous flow culture, the nitrite-oxidizing activity of attached cells was less than that of free cells and responses to transient changes in pH were reduced. Established attached cells were covered in extracellular slime material and significant nitrite oxidation occurred at pH 4.5. Surface growth was the major factor in the response of Nitrobacter to pH and allows for the possibility of autotrophic nitrification in acid soils. © 1987.",,,"Keen, G.A.; Department of Genetics and Microbiology, Marischal College, University of Aberdeen, Aberdeen, AB9 1AS Scotland, United Kingdom",,,380717,,SBIOA,,English,Soil Biol. Biochem.,Article,Final,,Scopus,2-s2.0-38249035996
